gametype,gamecode,gamename,gameplat,lang,status,maintain,nameset,language
,,,,th,,,Shou-Xin,en
,,,,ko,,,โชล-ซิน,th
slot,182,Thor 2,web,ko,TRUE,FALSE,토르 2,ko
,,,,zh-cn,,,雷神2,zh-cn
,,,,en,,,Thor 2,en
,,,,th,,,ธอร์ 2,th
slot,qatestemma0714,emma0714,mobile,zh-cn,TRUE,TRUE,emma0714,zh-cn
,,,,zh-tw,,,emma0714,zh-tw
,,,,en,,,emma0714,en
slot,197,Dragon's Treasure,web,th,TRUE,FALSE,สมบัติของมังกร,th
,,,,ko,,,용의 보물,ko
,,,,zh-cn,,,盘龙秘宝,zh-cn
,,,,en,,,Dragon's Treasure,en
slot,199,Songkran Festival,web,ko,TRUE,FALSE,欢乐泼水节,zh-cn
,,,,zh-cn,,,Songkran Festival,en
,,,,en,,,เทศกาล สงกรานต์,th
,,,,th,,,송크란 축제,ko
sport,qatesttest11250337,test11250337,mobile,zh-cn,TRUE,TRUE,test11250337,zh-cn
slot,208,Money Tree,web,th,TRUE,FALSE,ต้นไม้ เงิน,th
,,,,zh-cn,,,金钱树,zh-cn
,,,,en,,,Money Tree,en
arcade,207,Thai HILO,web,th,TRUE,FALSE,泰式骰宝,zh-cn
,,,,zh-cn,,,Thai HILO,en
,,,,en,,,ไทย HILO,th
slot,209,The Cupids,web,en,TRUE,FALSE,The Cupids,en
,,,,th,,,คิวปิด,th
,,,,zh-cn,,,小爱神,zh-cn
slot,1,FruitKing,web,zh-cn,TRUE,FALSE,후르츠 킹,ko
,,,,en,,,Fruta Rei,pt-br
,,,,id,,,ราชาผลไม้,th
,,,,ko,,,Vua trái cây,vn
,,,,pt-br,,,钻石水果王,zh-cn
,,,,th,,,Fruit King,en
,,,,vn,,,Raja Buah,id
slot,5,Mr.Rich,web,th,TRUE,FALSE,金大款,zh-cn
,,,,vn,,,Mr. Rich,en
,,,,id,,,미스터 리치,ko
,,,,pt-br,,,ท่านเศรษฐี,th
,,,,zh-cn,,,Ông Rich,vn
,,,,en,,,Tn. Kaya,id
,,,,ko,,,Mr. Rico,pt-br
slot,8,SoSweet,web,id,TRUE,FALSE,Manis Sekali,id
,,,,pt-br,,,Tão Doce,pt-br
,,,,zh-cn,,,甜蜜蜜,zh-cn
,,,,en,,,So Sweet,en
,,,,ko,,,소 스위트,ko
,,,,th,,,เถี่ยนมี่มี่,th
,,,,vn,,,Thật ngọt ngào,vn
slot,12,TreasureHouse,web,vn,TRUE,FALSE,Tesouraria,pt-br
,,,,id,,,金玉满堂,zh-cn
,,,,pt-br,,,Treasure House,en
,,,,zh-cn,,,트래져 하우스,ko
,,,,en,,,บ้านขุมทรัพย์,th
,,,,ko,,,Kho báu,vn
,,,,th,,,Rumah Harta Karun,id
slot,16,Super5,web,en,TRUE,FALSE,Super5,id
,,,,ko,,,Super5,pt-br
,,,,th,,,五行,zh-cn
,,,,vn,,,Super5,en
,,,,id,,,오행,ko
,,,,pt-br,,,ซุปเปอร์ 5,th
,,,,zh-cn,,,Super5,vn
slot,36,Pub Tycoon,web,zh-cn,TRUE,FALSE,夜店大亨,zh-cn
,,,,en,,,Pub Tycoon,en
,,,,ko,,,펍 타이쿤,ko
,,,,th,,,เสี่ยเจ้าของผับ,th
,,,,vn,,,PubTycoon,vn
,,,,id,,,PubTycoon,id
slot,58,GuGuGu2,web,pt-br,TRUE,FALSE,ปีใหม่ ไก่กุ๊กกุ๊ก 2,th
,,,,zh-cn,,,Năm Đinh Dậu 2,vn
,,,,en,,,Gu Gu Gu 2,es
,,,,ko,,,New Year Rooster 2,id
,,,,th,,,Gu Gu Gu 2,pt-br
,,,,vn,,,金鸡报囍2,zh-cn
,,,,es,,,Gu Gu Gu 2,en
,,,,id,,,Gu Gu Gu 2,ko
slot,64,Zeus,web,ja,TRUE,FALSE,Zeus,id
,,,,id,,,宙斯,zh-cn
,,,,zh-cn,,,제우스,ko
,,,,ko,,,Zeus,en
,,,,vn,,,ゼウス,ja
,,,,es,,,Zeus,pt-br
,,,,en,,,เทพซีอุส,th
